index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
73557,australia,1853.0,victoriapolice,law enforcement,linkedin.com/company/victoriapolice,melbourne,victoria police,victoria,10001+,police.vic.gov.au
77900,australia,2012.0,machine-generation-pty-ltd,publishing,linkedin.com/company/machine-generation-pty-ltd,south yarra,machine generation pty ltd,victoria,10001+,mechagen.net
84410,australia,1848.0,melbourne-health,hospital & health care,linkedin.com/company/melbourne-health,,melbourne health,,10001+,thermh.org.au
86417,australia,2008.0,agis-group-pty-ltd,information technology and services,linkedin.com/company/agis-group-pty-ltd,canberra,agis - a downer company,act,10001+,agisgroup.com.au
98760,australia,,people-infrastructure,staffing and recruiting,linkedin.com/company/people-infrastructure,,people infrastructure,,10001+,peopleinfrastructure.com
146802,australia,,infinity-downline_2,marketing and advertising,linkedin.com/company/infinity-downline_2,,infinity downline,,10001+,infinitydownline.com
149394,australia,1956.0,linfox,logistics and supply chain,linkedin.com/company/linfox,,linfox,victoria,10001+,linfox.com
47723,australia,1949.0,cpb-contractors,construction,linkedin.com/company/cpb-contractors,,cpb contractors,,10001+,cpbcon.com.au
79796,australia,,health-department-western-australia,hospital & health care,linkedin.com/company/health-department-western-australia,perth,department of health (wa health),western australia,10001+,health.wa.gov.au
166526,australia,,sydney-catholic-schools,primary/secondary education,linkedin.com/company/sydney-catholic-schools,,sydney catholic schools,,10001+,sydcatholicschools.nsw.edu.au
203623,australia,,dreamlabapp,research,linkedin.com/company/dreamlabapp,,dreamlab app,,10001+,ourdreamjob.com.au
140525,australia,,ntgovernment,government administration,linkedin.com/company/ntgovernment,,northern territory government,,10001+,nt.gov.au
160204,australia,,sa-health,hospital & health care,linkedin.com/company/sa-health,adelaide,sa health,south australia,10001+,sahealth.sa.gov.au
181209,australia,1909.0,university-of-queensland,higher education,linkedin.com/company/university-of-queensland,brisbane,the university of queensland,queensland,10001+,uq.edu.au
195154,australia,1979.0,secure-parking,commercial real estate,linkedin.com/company/secure-parking,,secure parking,,10001+,secureparking.com.au
27953,australia,1920.0,qantas,airlines/aviation,linkedin.com/company/qantas,,qantas,,10001+,qantas.com.au
88263,australia,1863.0,als,mining & metals,linkedin.com/company/als,brisbane,als,queensland,10001+,alsglobal.com
91358,australia,1933.0,downer,civil engineering,linkedin.com/company/downer,,downer,,10001+,downergroup.com
102689,australia,1900.0,myer,retail,linkedin.com/company/myer,docklands,myer,victoria,10001+,myer.com.au
124480,australia,1855.0,st-vincent's-health-australia,hospital & health care,linkedin.com/company/st-vincent's-health-australia,woolloomooloo,st vincent's health australia,new south wales,10001+,svha.org.au
12633,australia,1991.0,cotton-on-group,apparel & fashion,linkedin.com/company/cotton-on-group,,cotton on group,,10001+,cottonongroup.com
57912,australia,,suncorp,financial services,linkedin.com/company/suncorp,,suncorp group,queensland,10001+,suncorpgroup.com.au
59611,australia,2001.0,sf-suntech-australia-pty-ltd,renewables & environment,linkedin.com/company/sf-suntech-australia-pty-ltd,chatswood,sf suntech australia pty ltd,new south wales,10001+,suntech-power.com.au
130167,australia,2001.0,ejsfilms-www-ejsfilms-com,entertainment,linkedin.com/company/ejsfilms-www-ejsfilms-com,adelaide,ejsfilms.com,south australia,10001+,ejsfilms.com
135081,australia,1969.0,kmart-australia-limited,retail,linkedin.com/company/kmart-australia-limited,,kmart australia limited,,10001+,kmart.com.au
187626,australia,1899.0,hella-australia,automotive,linkedin.com/company/hella-australia,mentone,hella australia pty ltd,victoria,10001+,hella.com.au
37065,australia,1999.0,gwin,facilities services,linkedin.com/company/gwin,richmond,globe williams international,victoria,10001+,globewilliams.com
48727,australia,1951.0,programmed-newcastle-nsw,facilities services,linkedin.com/company/programmed-newcastle-nsw,waratah,programmed property services - newcastle nsw,new south wales,10001+,programmedpaintingservices.com.au
162814,australia,,queensland-government,government administration,linkedin.com/company/queensland-government,brisbane,queensland government,queensland,10001+,qld.gov.au
168403,australia,1835.0,anz,banking,linkedin.com/company/anz,melbourne,anz,victoria,10001+,anz.com
46262,australia,1996.0,web-design-melbourne,architecture & planning,linkedin.com/company/web-design-melbourne,melbourne,web design melbourne,victoria,10001+,lowcostwebdesign.com.au
52820,australia,1949.0,adpaustralia,financial services,linkedin.com/company/adpaustralia,,adp australia and new zealand,,10001+,adppayroll.com.au
108730,australia,1985.0,jaspers-verhuur,retail,linkedin.com/company/jaspers-verhuur,,jaspers verhuur,,10001+,jaspers-verhuur.nl
152637,australia,1983.0,domino's-pizza-enterprises-limited,retail,linkedin.com/company/domino's-pizza-enterprises-limited,,domino's pizza enterprises limited,,10001+,dominos.com.au
