,country,founded,id,industry,linkedin_url,locality,name,region,size,website
210541,australia,2004.0,bravura-solutions,information technology and services,linkedin.com/company/bravura-solutions,,bravura solutions,,1001-5000,bravurasolutions.com
210730,australia,1994.0,city-of-yarra,government administration,linkedin.com/company/city-of-yarra,richmond,yarra city council,new south wales,501-1000,yarracity.vic.gov.au
210740,australia,2009.0,ma-services-group,security and investigations,linkedin.com/company/ma-services-group,tullamarine,ma services group,victoria,501-1000,maservicesgroup.com.au
211145,new zealand,1911.0,grace-au,logistics and supply chain,linkedin.com/company/grace-au,lower hutt,grace removals group,wellington,501-1000,grace.com.au
211579,australia,2005.0,wild-desert,oil & energy,linkedin.com/company/wild-desert,,wild desert,,201-500,wilddesert.com.au
212326,australia,1989.0,delta-force-paintball,sports,linkedin.com/company/delta-force-paintball,,delta force paintball,,1001-5000,deltaforcepaintball.com
214235,australia,1998.0,gateways-support-services-inc,hospital & health care,linkedin.com/company/gateways-support-services-inc,geelong,gateways support services inc.,victoria,501-1000,gateways.com.au
215146,australia,,yong-group,construction,linkedin.com/company/yong-group,,yong group,,501-1000,yonghouse.co.th
215191,australia,,first-choice-liquor-market,retail,linkedin.com/company/first-choice-liquor-market,,first choice liquor market,victoria,5001-10000,firstchoiceliquormarket.com.au
215745,australia,2004.0,versatilepropertyservices,facilities services,linkedin.com/company/versatilepropertyservices,sydney,versatile property services,new south wales,201-500,versatileservices.com.au
215989,australia,1975.0,great-barrier-reef-marine-park-authority,environmental services,linkedin.com/company/great-barrier-reef-marine-park-authority,townsville,great barrier reef marine park authority,queensland,201-500,gbrmpa.gov.au
216173,australia,2011.0,valentabpo,outsourcing/offshoring,linkedin.com/company/valentabpo,brisbane,valenta bpo,queensland,201-500,valentabpo.com
217309,australia,,mannway-logistics,logistics and supply chain,linkedin.com/company/mannway-logistics,,mannway logistics,,501-1000,mannway.com.au
217851,australia,,s-c-college,higher education,linkedin.com/company/s-c-college,perth,swan christian college,western australia,201-500,swan.wa.edu.au
1899,australia,2019.0,recovery-plus,hospital & health care,linkedin.com/company/recovery-plus,sydney,recovery plus support,new south wales,1001-5000,recoveryplussupport.com.au
6058,australia,1930.0,australian-council-for-educational-research,research,linkedin.com/company/australian-council-for-educational-research,,australian council for educational research,,201-500,acer.edu.au
6969,australia,1975.0,one-harvest,food production,linkedin.com/company/one-harvest,,one harvest,,501-1000,oneharvest.com.au
7856,australia,1973.0,navarra-venues,events services,linkedin.com/company/navarra-venues,,navarra venues,,201-500,navarravenues.com.au
8468,australia,1994.0,cargowiseone,logistics and supply chain,linkedin.com/company/cargowiseone,alexandria,cargowise,new south wales,1001-5000,cargowise.com
8930,new zealand,1986.0,mastercraft-kitchens,furniture,linkedin.com/company/mastercraft-kitchens,tauranga,mastercraft kitchens,gisborne,201-500,mastercraft.co.nz
9754,australia,1921.0,city-of-fremantle,government administration,linkedin.com/company/city-of-fremantle,fremantle,city of fremantle,western australia,201-500,fremantle.wa.gov.au
11223,new zealand,1966.0,skyline-enterprises,"leisure, travel & tourism",linkedin.com/company/skyline-enterprises,queenstown,skyline enterprises,otago,1001-5000,skyline.co.nz
11858,australia,1985.0,ellex,medical devices,linkedin.com/company/ellex,,ellex,,201-500,ellex.com
12943,australia,,connell-hatch,mining & metals,linkedin.com/company/connell-hatch,,connell hatch,,501-1000,connellhatch.com
13138,australia,1893.0,blueline-laundry-inc,non-profit organization management,linkedin.com/company/blueline-laundry-inc,new town,blueline laundry,tasmania,201-500,blueline-laundry.com
14065,australia,2003.0,vincentcare,non-profit organization management,linkedin.com/company/vincentcare,melbourne,vincentcare victoria,victoria,201-500,vincentcare.org.au
14886,new zealand,1984.0,wells-instrument-and-electrical-services,oil & energy,linkedin.com/company/wells-instrument-and-electrical-services,new plymouth,wells instrument and electrical services,taranaki,201-500,wells.co.nz
15534,new zealand,1988.0,yellow-new-zealand,online media,linkedin.com/company/yellow-new-zealand,ellerslie,yellow new zealand,auckland,201-500,yellow.co.nz
15918,new zealand,2013.0,crimsoneducation,education management,linkedin.com/company/crimsoneducation,auckland,crimson education,auckland,201-500,crimsoneducation.org
17319,australia,2015.0,crystal-software-solutions-pty-ltd,information technology and services,linkedin.com/company/crystal-software-solutions-pty-ltd,mount waverley,crystal software solutions pty ltd,victoria,5001-10000,crystalsoft.com.au
17602,australia,1970.0,weslo-staff-pty-ltd,events services,linkedin.com/company/weslo-staff-pty-ltd,torrensville,weslo,south australia,501-1000,weslostaff.com.au
19736,australia,1992.0,toowoombaholden,automotive,linkedin.com/company/toowoombaholden,,toowoomba holden,,201-500,toowoombaholden.com.au
20390,australia,2002.0,infront-security-services,security and investigations,linkedin.com/company/infront-security-services,,infront security services,,201-500,infront-security.com
20433,new zealand,1978.0,ezibuy,retail,linkedin.com/company/ezibuy,auckland,ezibuy,auckland,501-1000,ezibuy.co.nz
21763,australia,2006.0,g8-education-ltd,education management,linkedin.com/company/g8-education-ltd,varsity lakes,g8 education ltd,queensland,10001+,g8education.edu.au
21948,australia,2020.0,secretsaturdays,entertainment,linkedin.com/company/secretsaturdays,southbank,secret saturdays,victoria,201-500,secretsaturdays.com.au
22205,australia,,the-orthodontist,"health, wellness and fitness",linkedin.com/company/the-orthodontist,adelaide,the orthodontist,south australia,201-500,theorthodontist.com.au
23528,australia,1952.0,the-good-guys,retail,linkedin.com/company/the-good-guys,melbourne,the good guys,victoria,1001-5000,thegoodguys.com.au
