index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
113842,australia,,morris_group,financial services,linkedin.com/company/morris_group,port melbourne,morris group holdings,victoria,1001-5000,morrisgroup.com.au
115031,australia,2009.0,chrisobrienlifehouse,hospital & health care,linkedin.com/company/chrisobrienlifehouse,sydney,chris o'brien lifehouse,new south wales,501-1000,mylifehouse.org.au
117804,australia,,gorgon-lng-project.,oil & energy,linkedin.com/company/gorgon-lng-project.,,gorgon lng project.,,5001-10000,chevronaustralia.com
120328,australia,1995.0,melbourne-and-olympic-park-trust,entertainment,linkedin.com/company/melbourne-and-olympic-park-trust,,melbourne & olympic parks,,1001-5000,mopt.com.au
122208,australia,,brisbane-racing-club,events services,linkedin.com/company/brisbane-racing-club,brisbane,brisbane racing club,queensland,501-1000,brc.com.au
124118,australia,,hlb-mann-judd,accounting,linkedin.com/company/hlb-mann-judd,sydney,hlb mann judd,new south wales,501-1000,hlb.com.au
124492,australia,1964.0,australian-acoustical-society,mechanical or industrial engineering,linkedin.com/company/australian-acoustical-society,sydney,australian acoustical society,new south wales,501-1000,acoustics.asn.au
127910,australia,1999.0,goodline,construction,linkedin.com/company/goodline,,goodline,,1001-5000,goodline.com.au
128461,australia,,tpg-telecom,telecommunications,linkedin.com/company/tpg-telecom,north sydney,tpg telecom,new south wales,5001-10000,tpgtelecom.com.au
132770,australia,1937.0,thorn-group-limited,financial services,linkedin.com/company/thorn-group-limited,,thorn group limited,,501-1000,thorn.com.au
132949,australia,1995.0,stamford-hotels-&-resorts,hospitality,linkedin.com/company/stamford-hotels-&-resorts,,stamford hotels & resorts,,1001-5000,stamford.com.au
133208,australia,1989.0,chargrill-charlie's,hospitality,linkedin.com/company/chargrill-charlie's,rose bay,chargrill charlie's,new south wales,501-1000,chargrillcharlies.com
137111,australia,1988.0,stramit,building materials,linkedin.com/company/stramit,,stramit,,1001-5000,stramit.com.au
139155,australia,1972.0,fc-australia-pty-ltd,apparel & fashion,linkedin.com/company/fc-australia-pty-ltd,,french connection australia,,501-1000,frenchconnection.com.au
143891,australia,,department-of-industry,government administration,linkedin.com/company/department-of-industry,canberra,"department of industry, innovation and science",act,1001-5000,industry.gov.au
144107,australia,2000.0,ascott-sales-integration,pharmaceuticals,linkedin.com/company/ascott-sales-integration,,ascott sales integration,,501-1000,ascottsales.com.au
146802,australia,,infinity-downline_2,marketing and advertising,linkedin.com/company/infinity-downline_2,,infinity downline,,10001+,infinitydownline.com
147663,australia,1886.0,varley-group,mechanical or industrial engineering,linkedin.com/company/varley-group,,varley group,,501-1000,varleygroup.com
149394,australia,1956.0,linfox,logistics and supply chain,linkedin.com/company/linfox,,linfox,victoria,10001+,linfox.com
152130,australia,1987.0,huon-aquaculture-group-limited,food production,linkedin.com/company/huon-aquaculture-group-limited,hobart,huon aquaculture group limited,tasmania,501-1000,huonaqua.com.au
152752,australia,1867.0,royal-freemasons-ltd,hospital & health care,linkedin.com/company/royal-freemasons-ltd,melbourne,royal freemasons ltd,victoria,1001-5000,royalfreemasons.org.au
156392,australia,1826.0,nsw-business-chamber,management consulting,linkedin.com/company/nsw-business-chamber,,nsw business chamber,,501-1000,nswbusinesschamber.com.au
157849,australia,1969.0,johnhughesgroup,automotive,linkedin.com/company/johnhughesgroup,victoria park,john hughes group,western australia,501-1000,johnhughes.com.au
159891,australia,1996.0,gte-australia,staffing and recruiting,linkedin.com/company/gte-australia,,gte australia,,1001-5000,gteaustralia.com
161050,australia,1963.0,toyota-motor-corporation-australia,automotive,linkedin.com/company/toyota-motor-corporation-australia,port melbourne,toyota motor corporation australia,victoria,1001-5000,toyota.com.au
165152,australia,1999.0,me-bank,banking,linkedin.com/company/me-bank,melbourne,me bank,victoria,1001-5000,mebank.com.au
165573,australia,2012.0,green-leaves-early-learning-centres,education management,linkedin.com/company/green-leaves-early-learning-centres,murarrie,green leaves early learning,queensland,501-1000,greenleavesgroup.com.au
167660,australia,2011.0,acquire-learning,education management,linkedin.com/company/acquire-learning,,acquire learning,,501-1000,acquirelearning.com.au
168517,australia,1991.0,pinnacle-people-australia,staffing and recruiting,linkedin.com/company/pinnacle-people-australia,melbourne,pinnacle people australia,victoria,5001-10000,pinnaclepeople.com.au
168901,australia,2015.0,latitude-financial-services,financial services,linkedin.com/company/latitude-financial-services,docklands,latitude financial services,victoria,1001-5000,latitudefinancial.com
173582,australia,1880.0,prok-conveyor-components-pty-ltd,mining & metals,linkedin.com/company/prok-conveyor-components-pty-ltd,bayswater,prok,western australia,501-1000,prokcc.com
174362,australia,1971.0,bapcor,automotive,linkedin.com/company/bapcor,,bapcor limited,,1001-5000,bapcor.com.au
175314,australia,1996.0,city-of-gold-coast,government administration,linkedin.com/company/city-of-gold-coast,surfers paradise,city of gold coast,queensland,1001-5000,goldcoast.qld.gov.au
177763,australia,1985.0,frizelle-sunshine-automotive,automotive,linkedin.com/company/frizelle-sunshine-automotive,gold coast,james frizelle's automotive group,queensland,501-1000,frizellesunshine.com.au
177939,australia,1847.0,university-of-adelaide,higher education,linkedin.com/company/university-of-adelaide,adelaide,university of adelaide,south australia,5001-10000,adelaide.edu.au
182970,australia,,oxford-funding-pty-ltd,banking,linkedin.com/company/oxford-funding-pty-ltd,docklands,oxford funding pty ltd,victoria,1001-5000,bendigodebtorfinance.com.au
183762,australia,1912.0,pm-automotive-group,automotive,linkedin.com/company/pm-automotive-group,bentleigh,pm group,victoria,501-1000,pmgroup.com.au
184195,australia,1982.0,tna-packaging-solutions,machinery,linkedin.com/company/tna-packaging-solutions,,tna solutions pty ltd.,new south wales,501-1000,tnasolutions.com
185461,australia,2016.0,nutrano-produce-group,food & beverages,linkedin.com/company/nutrano-produce-group,richmond,nutrano produce group,victoria,501-1000,nutrano.com.au
186572,australia,1894.0,royal-district-nursing-service,hospital & health care,linkedin.com/company/royal-district-nursing-service,,royal district nursing service,,1001-5000,rdns.org.au
189864,australia,1987.0,rosies-org-au,civic & social organization,linkedin.com/company/rosies-org-au,,rosie's,,501-1000,rosies.org.au
192883,australia,,dbmvircon,construction,linkedin.com/company/dbmvircon,melbourne street station,dbm vircon,queensland,501-1000,dbmvircon.com
197546,australia,,link-group-lnk,financial services,linkedin.com/company/link-group-lnk,,link group (lnk),,5001-10000,linkgroup.com
202447,australia,2001.0,b-universe,telecommunications,linkedin.com/company/b-universe,,b-universe,,501-1000,b-universe.com
203489,australia,1994.0,adelaidebank,banking,linkedin.com/company/adelaidebank,,adelaide bank,,1001-5000,adelaidebank.com.au
206378,australia,1956.0,disability-services-australia,mental health care,linkedin.com/company/disability-services-australia,,disability services australia (dsa),,1001-5000,dsa.org.au
207443,australia,1996.0,taskwell-australia,electrical/electronic manufacturing,linkedin.com/company/taskwell-australia,,taskwell australia,,5001-10000,taskwell.com.au
213430,australia,,amp-capital,investment management,linkedin.com/company/amp-capital,,amp capital,,1001-5000,ampcapital.com
213893,australia,1993.0,project-and-development-services-pty-ltd,construction,linkedin.com/company/project-and-development-services-pty-ltd,brisbane,project and development services pty ltd,queensland,501-1000,projdevservices.com
217450,australia,2008.0,base-resources,mining & metals,linkedin.com/company/base-resources,perth,base resources,western australia,1001-5000,baseresources.com.au
623,australia,2004.0,global-product-search,mining & metals,linkedin.com/company/global-product-search,mackay,global product search,queensland,501-1000,globalproductsearch.com.au
4595,australia,,w-short-hotel-group,hospitality,linkedin.com/company/w-short-hotel-group,,w. short hotel group,,501-1000,wshorthotelgroup.com.au
6571,australia,1979.0,michael-hill,retail,linkedin.com/company/michael-hill,,michael hill,,1001-5000,michaelhill.com
7812,australia,1954.0,giovenco-industries,construction,linkedin.com/company/giovenco-industries,moorebank,giovenco industries,new south wales,501-1000,giovencoind.com
10533,australia,1949.0,hardy-spicer,mechanical or industrial engineering,linkedin.com/company/hardy-spicer,,hardy spicer,victoria,1001-5000,hardyspicer.com.au
12079,australia,,glen-eira-city-council,government relations,linkedin.com/company/glen-eira-city-council,,glen eira city council,,1001-5000,gleneira.vic.gov.au
13602,australia,1995.0,stiveshomecare,hospital & health care,linkedin.com/company/stiveshomecare,perth,st ives home care,western australia,501-1000,stiveshomecare.com.au
14685,australia,2009.0,cloudpital,information technology and services,linkedin.com/company/cloudpital,adelaide,cloudpital,south australia,501-1000,cloudpital.com
16806,australia,1988.0,mcgrath-estate-agents,real estate,linkedin.com/company/mcgrath-estate-agents,pyrmont,mcgrath estate agents,new south wales,1001-5000,mcgrath.com.au
22860,australia,,service-stream,telecommunications,linkedin.com/company/service-stream,melbourne,service stream,victoria,1001-5000,servicestream.com.au
24838,australia,1991.0,city-farmers,retail,linkedin.com/company/city-farmers,,city farmers,western australia,501-1000,cityfarmers.com.au
28382,australia,1968.0,amcap-distribution,logistics and supply chain,linkedin.com/company/amcap-distribution,,amcap distribution centre,,501-1000,amcap.com.au
32884,australia,,kresta,retail,linkedin.com/company/kresta,,kresta holdings limited,,501-1000,kresta.com.au
34858,australia,1861.0,icon-group-construction,construction,linkedin.com/company/icon-group-construction,melbourne,icon,victoria,501-1000,icon.co
38859,australia,1961.0,multivac-australia,packaging and containers,linkedin.com/company/multivac-australia,,multivac australia,,5001-10000,multivac.com.au
46934,australia,2011.0,gpc-asia-pacific,automotive,linkedin.com/company/gpc-asia-pacific,melbourne,gpc asia pacific,victoria,1001-5000,gpcasiapac.com
47533,australia,1919.0,grange-thistle,sports,linkedin.com/company/grange-thistle,,grange thistle soccer club (gtsc),,1001-5000,grangethistle.com
47723,australia,1949.0,cpb-contractors,construction,linkedin.com/company/cpb-contractors,,cpb contractors,,10001+,cpbcon.com.au
50065,australia,1968.0,institute-of-management-consultants,management consulting,linkedin.com/company/institute-of-management-consultants,,institute of management consultants,,501-1000,imc.org.au
52359,australia,2010.0,seo-meetups,marketing and advertising,linkedin.com/company/seo-meetups,brisbane,seo meetups,queensland,1001-5000,seomeetu.ps
54096,australia,1952.0,dan-murphy's,wine and spirits,linkedin.com/company/dan-murphy's,melbourne,dan murphy's,victoria,5001-10000,danmurphys.com.au
63077,australia,1968.0,scalabrini,hospital & health care,linkedin.com/company/scalabrini,,scalabrini village ltd,,501-1000,scalabrini.com.au
66745,australia,,loram-pty,railroad manufacture,linkedin.com/company/loram-pty,,loram pty ltd,queensland,1001-5000,loram.com.au
71096,australia,2006.0,business-advisor-network,management consulting,linkedin.com/company/business-advisor-network,,business advisor network,,501-1000,businessadvisor.net.au
71882,australia,2003.0,nexium,telecommunications,linkedin.com/company/nexium,newstead,nexium telecommunications,queensland,1001-5000,nexium.net.au
74008,australia,,tabcorp,entertainment,linkedin.com/company/tabcorp,melbourne,tabcorp,victoria,1001-5000,tabcorp.com.au
76004,australia,,the-australian-red-cross-blood-service,"health, wellness and fitness",linkedin.com/company/the-australian-red-cross-blood-service,melbourne,the australian red cross blood service,victoria,1001-5000,donateblood.com.au
76126,australia,1927.0,woodhead,architecture & planning,linkedin.com/company/woodhead,adelaide,woodhead,south australia,5001-10000,ghdwoodhead.com
79412,australia,1984.0,cash-converters,retail,linkedin.com/company/cash-converters,perth,cash converters,western australia,501-1000,cashconverters.com
79545,australia,1936.0,capral-aluminium,building materials,linkedin.com/company/capral-aluminium,,capral aluminium,,501-1000,capral.com.au
79796,australia,,health-department-western-australia,hospital & health care,linkedin.com/company/health-department-western-australia,perth,department of health (wa health),western australia,10001+,health.wa.gov.au
81721,australia,2001.0,stvincentsprivatehospitalnorthside,hospital & health care,linkedin.com/company/stvincentsprivatehospitalnorthside,chermside,st vincent's private hospital northside,queensland,501-1000,svphn.org.au
82164,australia,1992.0,aussie,financial services,linkedin.com/company/aussie,sydney,aussie,new south wales,1001-5000,aussie.com.au
85681,australia,,udiavic,non-profit organization management,linkedin.com/company/udiavic,melbourne,urban development institute of australia (udia) - victorian division,victoria,501-1000,udiavic.com.au
89241,australia,1976.0,rockpool-dining-group,hospitality,linkedin.com/company/rockpool-dining-group,sydney,rockpool dining group,new south wales,1001-5000,rockpooldininggroup.com.au
89376,australia,,scentre-group,real estate,linkedin.com/company/scentre-group,,scentre group (owner and operator of westfield in aus and nz),,1001-5000,scentregroup.com
92857,australia,,qgc,oil & energy,linkedin.com/company/qgc,brisbane,qgc - a bg group business,queensland,5001-10000,qgc.com.au
94039,australia,1993.0,pack-&-send-australia,package/freight delivery,linkedin.com/company/pack-&-send-australia,,pack & send australia,,501-1000,packsend.com.au
94296,australia,1958.0,syc-inc,non-profit organization management,linkedin.com/company/syc-inc,kent town,syc limited,south australia,501-1000,syc.net.au
96856,australia,2011.0,performics-australia,marketing and advertising,linkedin.com/company/performics-australia,,performics australia,,1001-5000,performics.com.au
98215,australia,2006.0,qscangroup,hospital & health care,linkedin.com/company/qscangroup,clayfield,qscan group,queensland,501-1000,qscan.com.au
102905,australia,1976.0,oamps-ltd.,insurance,linkedin.com/company/oamps-ltd.,kew,oamps ltd.,victoria,1001-5000,oamps.com
104114,australia,1993.0,cap-security-services,security and investigations,linkedin.com/company/cap-security-services,,cap security services,,1001-5000,capsecurity.com.au
104531,australia,,healthcare-imaging-services,hospital & health care,linkedin.com/company/healthcare-imaging-services,,healthcare imaging services,,1001-5000,healthcareimaging.com.au
105913,australia,1838.0,iplex-pipelines,plastics,linkedin.com/company/iplex-pipelines,banyo,iplex pipelines,queensland,501-1000,iplex.com.au
106498,australia,,venus-lifestyle,food production,linkedin.com/company/venus-lifestyle,,venus lifestyle,,501-1000,venuslifestyle.es
107329,australia,1998.0,rashay's-cafe-&-restaurant,restaurants,linkedin.com/company/rashay's-cafe-&-restaurant,,rashays,,501-1000,rashays.com
108363,australia,,taylors-college-australia,education management,linkedin.com/company/taylors-college-australia,sydney,taylors college australia,new south wales,501-1000,taylorscollege.edu.au
115324,australia,1993.0,toys-r-us,retail,linkedin.com/company/toys-r-us,,"toys\r\""​us australia | babies\""r\""us australia""",,1001-5000,toysrus.com.au
116212,australia,1976.0,barbeques-galore-pty-ltd,retail,linkedin.com/company/barbeques-galore-pty-ltd,sydney,barbeques galore pty ltd,new south wales,501-1000,barbequesgalore.com.au
121236,australia,1912.0,nmit,higher education,linkedin.com/company/nmit,preston,nmit,victoria,1001-5000,melbournepolytechnic.edu.au
127736,australia,1921.0,freemasons-queensland,non-profit organization management,linkedin.com/company/freemasons-queensland,,freemasons queensland,queensland,5001-10000,uglq.org.au
128650,australia,2010.0,pwc-australia,accounting,linkedin.com/company/pwc-australia,,pwc australia,,5001-10000,pwc.com.au
129808,australia,1845.0,symbion-pharmacy-services,wholesale,linkedin.com/company/symbion-pharmacy-services,,symbion pty ltd,,1001-5000,symbion.com.au
136271,australia,1951.0,belmore-nurses,hospital & health care,linkedin.com/company/belmore-nurses,mitcham,belmore nurses bureau,victoria,501-1000,belmorenurses.com.au
141103,australia,1958.0,phoenix-society,packaging and containers,linkedin.com/company/phoenix-society,,phoenix society,,501-1000,phoenixsociety.com.au
142165,australia,1981.0,masterplumbers,utilities,linkedin.com/company/masterplumbers,,master plumbers​ and mechanical services association of australia,,1001-5000,plumber.com.au
143632,australia,2013.0,allity,hospital & health care,linkedin.com/company/allity,,allity aged care,,1001-5000,allity.com.au
148151,australia,1996.0,melbourneit,information technology and services,linkedin.com/company/melbourneit,,melbourne it,,501-1000,melbourneit.com.au
148971,australia,,department-of-sustainability-and-environment,environmental services,linkedin.com/company/department-of-sustainability-and-environment,melbourne,department of sustainability and environment,victoria,1001-5000,dse.vic.gov.au
150380,australia,1867.0,veolia-environnement-australia,environmental services,linkedin.com/company/veolia-environnement-australia,,veolia australia and new zealand,,1001-5000,veolia.com.au
151973,australia,,medicare-australia,government administration,linkedin.com/company/medicare-australia,,medicare australia,,1001-5000,medicareaustralia.gov.au
152907,australia,1994.0,whitehorsecitycouncil,government administration,linkedin.com/company/whitehorsecitycouncil,nunawading,whitehorse city council,victoria,1001-5000,whitehorse.vic.gov.au
155633,australia,1967.0,morris-corporation,facilities services,linkedin.com/company/morris-corporation,,morris corporation,,1001-5000,morriscorp.com.au
156638,australia,2004.0,evolution-traffic-control-pty-ltd.,construction,linkedin.com/company/evolution-traffic-control-pty-ltd.,virginia,evolution traffic control pty ltd.,queensland,1001-5000,evolutiontraffic.com.au
157670,australia,,sino-gold-mining-limited,mining & metals,linkedin.com/company/sino-gold-mining-limited,,sino gold mining limited,,1001-5000,sinogold.com.au
160171,australia,2013.0,adria-mobil-australia,"leisure, travel & tourism",linkedin.com/company/adria-mobil-australia,brisbane,adria mobil australia,queensland,501-1000,adria-mobil.com
165307,australia,1889.0,alsco-australia,textiles,linkedin.com/company/alsco-australia,,alsco australia,,1001-5000,alsco.com.au
165525,australia,1938.0,tutt-bryant-group-limited,construction,linkedin.com/company/tutt-bryant-group-limited,,tutt bryant group limited,,501-1000,tuttbryant.com.au
