,country,founded,id,industry,linkedin_url,locality,name,region,size,website
72093,united states,1974.0,pthomecare,hospital & health care,linkedin.com/company/pthomecare,lake success,personal touch home care,new york,10001+,pthomecare.com
73631,united states,1935.0,phoenix-sky-harbor-international-airport,airlines/aviation,linkedin.com/company/phoenix-sky-harbor-international-airport,phoenix,phoenix sky harbor international airport,arizona,10001+,skyharbor.com
76346,united states,1981.0,hugh's-culinary,food & beverages,linkedin.com/company/hugh's-culinary,oakland park,hugh's culinary,florida,10001+,hughscatering.com
80997,united states,,smith-international,oil & energy,linkedin.com/company/smith-international,,smith international,,10001+,smith.com
89295,united states,1930.0,ametekecp,electrical/electronic manufacturing,linkedin.com/company/ametekecp,montvale,ametek hcc interconnect technologies,new jersey,10001+,ametek-ecp.com
89351,united states,1908.0,dormakabaamericas,building materials,linkedin.com/company/dormakabaamericas,indianapolis,dormakaba americas,indiana,10001+,dormakaba.us
92456,united states,1990.0,i-95-corridor-coalition,transportation/trucking/railroad,linkedin.com/company/i-95-corridor-coalition,rockville,i-95 corridor coalition,maryland,10001+,i95coalition.org
93788,united states,1932.0,guardian-industries,"glass, ceramics & concrete",linkedin.com/company/guardian-industries,auburn hills,guardian industries,michigan,10001+,guardian.com
94575,united states,2008.0,install-it-today,consumer services,linkedin.com/company/install-it-today,minneapolis,install it today,minnesota,10001+,installittoday.com
97732,united states,1924.0,mdu-resources-group-inc.,oil & energy,linkedin.com/company/mdu-resources-group-inc.,bismarck,"mdu resources group, inc.",north dakota,10001+,mdu.com
98508,united states,1968.0,intel-corporation,semiconductors,linkedin.com/company/intel-corporation,santa clara,intel corporation,california,10001+,intel.com
99282,united states,2019.0,clarios,automotive,linkedin.com/company/clarios,milwaukee,clarios,wisconsin,10001+,clarios.com
100491,united states,2013.0,trusourcelabs,information technology and services,linkedin.com/company/trusourcelabs,austin,trusource labs,texas,10001+,trusourcelabs.com
105113,united states,1928.0,brookshire-grocery-company,retail,linkedin.com/company/brookshire-grocery-company,tyler,brookshire grocery company,texas,10001+,brookshires.com
105427,united states,1879.0,chevron,oil & energy,linkedin.com/company/chevron,san ramon,chevron,california,10001+,chevron.com
107608,united states,,wwecare.org,education management,linkedin.com/company/wwecare.org,saratoga,wwecare.org,california,10001+,wwecare.org
109051,united states,1997.0,united-rentals,construction,linkedin.com/company/united-rentals,stamford,united rentals,connecticut,10001+,unitedrentals.com
110118,united states,,badgersolutions,retail,linkedin.com/company/badgersolutions,nicholasville,badger technologies,kentucky,10001+,badger-technologies.com
111408,united states,1981.0,guess-,retail,linkedin.com/company/guess-,los angeles,"guess?, inc.",california,10001+,guess.com
114352,united states,2008.0,aryzta-llc,food production,linkedin.com/company/aryzta-llc,chicago,aryzta,illinois,10001+,aryztaamericas.com
116024,united states,1903.0,rockwell-automation,industrial automation,linkedin.com/company/rockwell-automation,milwaukee,rockwell automation,wisconsin,10001+,rockwellautomation.com
116797,united states,1968.0,riteaid,retail,linkedin.com/company/riteaid,camp hill,rite aid,pennsylvania,10001+,racecomp.co.uk
116803,united states,,dermpath-diagnostics,hospital & health care,linkedin.com/company/dermpath-diagnostics,,dermpath diagnostics,new jersey,10001+,dermpathdiagnostics.com
117845,united states,2001.0,mackenzie-business-consultants,management consulting,linkedin.com/company/mackenzie-business-consultants,delaware,mackenzie business consulting,new york,10001+,mackenzied.com
118217,united states,1999.0,carrefour-romania,retail,linkedin.com/company/carrefour-romania,,carrefour românia,,10001+,carrefour.ro
118839,united states,,pnc-bank-n.a,banking,linkedin.com/company/pnc-bank-n.a,baltimore,"pnc bank, n.a",maryland,10001+,pncbank.com
119750,united states,1994.0,plasmacam,machinery,linkedin.com/company/plasmacam,colorado city,plasmacam,colorado,10001+,plasmacam.com
120215,united states,1905.0,paccar,automotive,linkedin.com/company/paccar,bellevue,paccar,washington,10001+,paccar.com
122300,united states,1740.0,university-of-pennsylvania,higher education,linkedin.com/company/university-of-pennsylvania,philadelphia,university of pennsylvania,pennsylvania,10001+,upenn.edu
122451,united states,1926.0,dupont-pioneer,farming,linkedin.com/company/dupont-pioneer,johnston,dupont pioneer,iowa,10001+,pioneer.com
122634,united states,1940.0,air-products,chemicals,linkedin.com/company/air-products,trexlertown,air products,pennsylvania,10001+,airproducts.com
122824,united states,,fox-carolina,broadcast media,linkedin.com/company/fox-carolina,,fox carolina,,10001+,foxcarolina.com
129116,united states,,know-your-value,professional training & coaching,linkedin.com/company/know-your-value,,know your value,new york,10001+,knowyourvalue.com
129557,united states,,wells-fargo-advisors,financial services,linkedin.com/company/wells-fargo-advisors,st. louis,wells fargo advisors,missouri,10001+,wellsfargoadvisors.com
129695,united states,,unicircuit,electrical/electronic manufacturing,linkedin.com/company/unicircuit,littleton,unicircuit,colorado,10001+,unicircuit.com
130379,united states,1975.0,radford,human resources,linkedin.com/company/radford,san jose,radford,california,10001+,radford.com
131543,united states,,cbrefinance,real estate,linkedin.com/company/cbrefinance,san diego,cbre commercial & multifamily finance,california,10001+,cbrequote.com
132987,united states,1915.0,technicolor,entertainment,linkedin.com/company/technicolor,west hollywood,technicolor,california,10001+,technicolor.com
133859,united states,1922.0,regis-corporation,retail,linkedin.com/company/regis-corporation,minneapolis,regis corporation,minnesota,10001+,regiscorp.com
136687,united states,1976.0,vtech,consumer electronics,linkedin.com/company/vtech,tigard,vtech,oregon,10001+,vtech.com
137851,united states,2016.0,adient,automotive,linkedin.com/company/adient,plymouth,adient,michigan,10001+,adient.com
140363,united states,1986.0,west----televox-solutions,information technology and services,linkedin.com/company/west----televox-solutions,mobile,televox software,alabama,10001+,televox.com
148964,united states,1957.0,toyota-north-america,automotive,linkedin.com/company/toyota-north-america,plano,toyota north america,texas,10001+,toyota.com
149559,united states,,california-lions-clubs-multiple-district-4,non-profit organization management,linkedin.com/company/california-lions-clubs-multiple-district-4,santa barbara,california lions clubs multiple district 4,california,10001+,md4lions.org
152418,united states,1995.0,intermedia-marketing-solutions,outsourcing/offshoring,linkedin.com/company/intermedia-marketing-solutions,west chester,intermedia marketing solutions,pennsylvania,10001+,intermediamarketing.com
