index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
5051,vibe hotels,hospitality,new south wales,1001-5000,1982.0,linkedin.com/company/vibe-hotels,,0,https://www.seek.com.au/companies/vibe-hotels-753406/reviews,7,7,Unknown,"[[0, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/vibe-hotels-753406/reviews']}"
15473,gjk facility services,facilities services,victoria,1001-5000,1985.0,linkedin.com/company/gjk-facility-services,,0,https://www.seek.com.au/companies/gjk-facility-services-834413/reviews,20,20,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0.58]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/gjk-facility-services-834413/reviews']}"
16652,westrac cat,machinery,,1001-5000,1990.0,linkedin.com/company/westrac,https://au.indeed.com/cmp/Westrac/reviews,52,https://www.seek.com.au/companies/westrac-432425/reviews,239,291,Unknown,"[[0.75, 0, 0, 0, 0, 0], [0.67, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Westrac/reviews'], 'seek': ['https://www.seek.com.au/companies/westrac-432425/reviews']}"
25058,the gabba,events services,queensland,1001-5000,1895.0,linkedin.com/company/the-gabba,https://au.indeed.com/cmp/O'brien-Group-(gabba-Stadium)/reviews,2,https://www.seek.com.au/companies/the-gabba-795828/reviews,3,5,Unknown,"[[0, 0.44, 0, 0, 0.14, 0], [0.73, 0, 0, 0.21, 0, 0]]","{'indeed': [""https://au.indeed.com/cmp/O'brien-Group-(gabba-Stadium)/reviews"", ""https://au.indeed.com/cmp/O'brien-Group-Australia/reviews""], 'seek': ['https://www.seek.com.au/companies/the-gabba-795828/reviews', 'https://www.seek.com.au/companies/brisbane-markets-limited-814540/reviews']}"
28569,national indigenous australians agency,government administration,act,1001-5000,2019.0,linkedin.com/company/national-indigenous-australians-agency,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': []}"
29167,dreampath recruitment,staffing and recruiting,queensland,1001-5000,2018.0,linkedin.com/company/dreampathrecruitment,https://au.indeed.com/cmp/Programmed/reviews,169,,0,169,Unknown,"[[0.49, 0.4, 0.28, 0.29, 0, 0.2], [0.34, 0, 0, 0, 0.3, 0.2]]","{'indeed': ['https://au.indeed.com/cmp/Programmed/reviews', 'https://au.indeed.com/cmp/Sa-Health/reviews', 'https://au.indeed.com/cmp/Australia-Post/reviews', 'https://au.indeed.com/cmp/Concentrix/reviews', 'https://au.indeed.com/cmp/Workforce-International/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/pathtech-946999/reviews', 'https://www.seek.com.au/companies/careers-australia-433152/reviews']}"
30331,victory & indian motorcycle australia,automotive,,5001-10000,1998.0,linkedin.com/company/victory-motorcycles-australia,https://www.indeed.com/cmp/Indian-Motorcycle/reviews,0,https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews,21,21,Unknown,"[[0.42, 0.59, 0.41, 0.4, 0, 0.26], [0.54, 0.31, 0, 0, 0.08, 0.11]]","{'indeed': ['https://au.indeed.com/cmp/Melbourne-Victory/reviews', 'https://www.indeed.com/cmp/Indian-Motorcycle/reviews', 'https://au.indeed.com/cmp/Victory-College/reviews', 'https://au.indeed.com/cmp/Victory-Hotel/reviews', 'https://au.indeed.com/cmp/A1-Motor-Cycles/reviews'], 'seek': ['https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews', 'https://www.seek.com.au/companies/winning-group-436752/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/online-education-services-986010/reviews']}"
36184,ausnet services,utilities,,1001-5000,,linkedin.com/company/ausnetservices,https://au.indeed.com/cmp/Ausnet-Services/reviews,7,https://www.seek.com.au/companies/ausnet-services-433075/reviews,59,66,Unknown,"[[0.56, 0.8, 0.6, 0, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sp-Ausnet/reviews', 'https://au.indeed.com/cmp/Ausnet-Services/reviews', 'https://au.indeed.com/cmp/Aestec-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/ausnet-services-433075/reviews']}"
37746,australian home care,non-profit organization management,,1001-5000,1986.0,linkedin.com/company/australian-home-care,https://au.indeed.com/cmp/Australian-Home-Care/reviews,24,https://www.seek.com.au/companies/australian-home-care-434283/reviews,41,65,Unknown,"[[0.81, 0.66, 0.51, 0.45, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Home-Care/reviews', 'https://au.indeed.com/cmp/Australian-Home-Care-Services/reviews', 'https://au.indeed.com/cmp/Homecare-Australia/reviews', 'https://au.indeed.com/cmp/Home-Care-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/australian-home-care-434283/reviews']}"
59168,soprema australia,building materials,,1001-5000,1908.0,linkedin.com/company/soprema-australia,https://www.indeed.com/cmp/Soprema/reviews,0,,0,0,Unknown,"[[0, 0.57, 0, 0, 0, 0], [0, 0, 0, 0.26, 0.16, 0.36]]","{'indeed': ['https://www.indeed.com/cmp/Soprema/reviews'], 'seek': ['https://www.seek.com.au/companies/ahpra-434125/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/australia-post-432307/reviews']}"
62821,abn group,construction,,1001-5000,1978.0,linkedin.com/company/abn-group,https://au.indeed.com/cmp/Abn-Group/reviews,14,https://www.seek.com.au/companies/abn-group-806732/reviews,24,38,Unknown,"[[0, 0.7, 0, 0, 0, 0], [0.73, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Abn-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/abn-group-806732/reviews']}"
68783,diva,retail,,1001-5000,,linkedin.com/company/diva_2,https://www.indeed.com/cmp/Diva's/reviews,0,,0,0,Unknown,"[[0, 0.65, 0, 0, 0.33, 0], [0, 0, 0.15, 0, 0.15, 0]]","{'indeed': [""https://www.indeed.com/cmp/Diva's/reviews"", 'https://www.indeed.com/cmp/Diva-Express/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/each-861217/reviews']}"
70310,kamco,information technology and services,victoria,1001-5000,,linkedin.com/company/kamco,https://www.indeed.com/cmp/Kamco/reviews,0,,0,0,Unknown,"[[0.85, 0.49, 0.47, 0.37, 0, 0], [0, 0, 0, 0, 0.14, 0.26]]","{'indeed': ['https://www.indeed.com/cmp/Kamco/reviews', 'https://www.indeed.com/cmp/Kamco-Industries/reviews', 'https://www.indeed.com/cmp/Kamco-Services/reviews', 'https://www.indeed.com/cmp/Kamco-Supply-Corp/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/camec-437099/reviews']}"
73557,victoria police,law enforcement,victoria,10001+,1853.0,linkedin.com/company/victoriapolice,https://au.indeed.com/cmp/Victoria-Police/reviews,57,https://www.seek.com.au/companies/victoria-police-432505/reviews,106,163,Unknown,"[[0.85, 0, 0, 0, 0, 0], [0.82, 0.42, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Victoria-Police/reviews'], 'seek': ['https://www.seek.com.au/companies/victoria-police-432505/reviews', 'https://www.seek.com.au/companies/queensland-police-service-432494/reviews']}"
74946,red rooster,restaurants,,5001-10000,1972.0,linkedin.com/company/red-rooster,https://au.indeed.com/cmp/Red-Rooster/reviews,833,https://www.seek.com.au/companies/red-rooster-432308/reviews,300,1133,Unknown,"[[0.8, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Red-Rooster/reviews'], 'seek': ['https://www.seek.com.au/companies/red-rooster-432308/reviews']}"
77900,machine generation pty ltd,publishing,victoria,10001+,2012.0,linkedin.com/company/machine-generation-pty-ltd,,0,https://www.seek.com.au/companies/generation-marketing-group-437285/reviews,7,7,Unknown,"[[0.35, 0.38, 0.36, 0.31, 0.33, 0.22], [0.33, 0.48, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Triple-M-Holdings/reviews', 'https://au.indeed.com/cmp/General-Business-Machines/reviews', 'https://au.indeed.com/cmp/Link-Group/reviews', 'https://au.indeed.com/cmp/Hitachi-Construction-Machinery/reviews', 'https://au.indeed.com/cmp/Gmp-Pharmaceuticals-Pty-Ltd/reviews', 'https://au.indeed.com/cmp/Smart-Energy-d89f6363/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/generation-marketing-group-437285/reviews']}"
83206,department for environment and water,renewables & environment,south australia,1001-5000,,linkedin.com/company/department-for-environment-and-water,https://au.indeed.com/cmp/Department-For-Environment-and-Water/reviews,3,https://www.seek.com.au/companies/australian-department-of-the-environment-795370/reviews,5,8,Unknown,"[[0.83, 0.49, 0, 0.61, 0.38, 0], [0, 0, 0, 0.5, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Department-For-Environment-and-Water/reviews', 'https://au.indeed.com/cmp/Australian-Government-Department-of-Agriculture-and-Water-Resources/reviews', 'https://au.indeed.com/cmp/Department-of-the-Environment-and-Energy/reviews', 'https://au.indeed.com/cmp/Austspray-Environmental/reviews'], 'seek': ['https://www.seek.com.au/companies/australian-department-of-the-environment-795370/reviews']}"
83413,sureway employment and training,staffing and recruiting,new south wales,5001-10000,1991.0,linkedin.com/company/sureway-employment-and-training,https://au.indeed.com/cmp/Sureway-Employment-and-Training/reviews,7,https://www.seek.com.au/companies/sureway-employment-and-training-813264/reviews,76,83,Unknown,"[[0.85, 0.66, 0, 0, 0, 0], [0.86, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sureway-Employment-and-Training/reviews', 'https://au.indeed.com/cmp/Sureway-Employment/reviews'], 'seek': ['https://www.seek.com.au/companies/sureway-employment-and-training-813264/reviews']}"
84410,melbourne health,hospital & health care,,10001+,1848.0,linkedin.com/company/melbourne-health,https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews,47,https://www.seek.com.au/companies/melbourne-health-433039/reviews,46,93,Unknown,"[[0.62, 0, 0, 0, 0.44, 0.21], [0, 0.78, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews', 'https://au.indeed.com/cmp/Melbourne-Private-Hospital/reviews', 'https://au.indeed.com/cmp/Healthcare-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/melbourne-health-433039/reviews']}"
86417,agis - a downer company,information technology and services,act,10001+,2008.0,linkedin.com/company/agis-group-pty-ltd,https://au.indeed.com/cmp/Downer-Group/reviews,303,https://www.seek.com.au/companies/downer-432325/reviews,918,1221,Unknown,"[[0.55, 0, 0, 0, 0, 0], [0, 0.45, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Downer-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/downer-432325/reviews']}"
87114,village cinemas australia,entertainment,,5001-10000,,linkedin.com/company/village-cinemas,https://au.indeed.com/cmp/Village-Cinema/reviews,5,https://www.seek.com.au/companies/village-cinemas-433009/reviews,35,40,Unknown,"[[0.67, 0, 0.6, 0, 0, 0], [0.7, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Village-Cinema/reviews', 'https://au.indeed.com/cmp/Village-Cinemas/reviews'], 'seek': ['https://www.seek.com.au/companies/village-cinemas-433009/reviews']}"
94243,biztech enterprise solutions,information technology and services,,1001-5000,2008.0,linkedin.com/company/biztech-enterprise-solutions,https://www.indeed.com/cmp/Biztech/reviews,1,,0,1,Unknown,"[[0.51, 0, 0, 0, 0, 0], [0, 0, 0.21, 0.35, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Biztech/reviews'], 'seek': ['https://www.seek.com.au/companies/australia-post-432307/reviews', 'https://www.seek.com.au/companies/agrifood-technology-989798/reviews']}"
97763,mbf,insurance,,1001-5000,,linkedin.com/company/mbf,https://www.indeed.com/cmp/Mbf/reviews,0,,0,0,Unknown,"[[0.75, 0, 0, 0.24, 0.28, 0], [0, 0, 0.2, 0.1, 0.05, 0]]","{'indeed': ['https://www.indeed.com/cmp/Mbf/reviews', 'https://www.indeed.com/cmp/Mbf-Industries-Inc/reviews', 'https://www.indeed.com/cmp/Mbf-Agency/reviews'], 'seek': ['https://www.seek.com.au/companies/build-a-bear-workshop-864415/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/golden-circle-433858/reviews']}"
