index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
30331,victory & indian motorcycle australia,automotive,,5001-10000,1998.0,linkedin.com/company/victory-motorcycles-australia,https://www.indeed.com/cmp/Indian-Motorcycle/reviews,0,https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews,21,21,Unknown,"[[0.42, 0.59, 0.41, 0.4, 0, 0.26], [0.54, 0.31, 0, 0, 0.08, 0.11]]","{'indeed': ['https://au.indeed.com/cmp/Melbourne-Victory/reviews', 'https://www.indeed.com/cmp/Indian-Motorcycle/reviews', 'https://au.indeed.com/cmp/Victory-College/reviews', 'https://au.indeed.com/cmp/Victory-Hotel/reviews', 'https://au.indeed.com/cmp/A1-Motor-Cycles/reviews'], 'seek': ['https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews', 'https://www.seek.com.au/companies/winning-group-436752/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/online-education-services-986010/reviews']}"
73557,victoria police,law enforcement,victoria,10001+,1853.0,linkedin.com/company/victoriapolice,https://au.indeed.com/cmp/Victoria-Police/reviews,57,https://www.seek.com.au/companies/victoria-police-432505/reviews,106,163,Unknown,"[[0.85, 0, 0, 0, 0, 0], [0.82, 0.42, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Victoria-Police/reviews'], 'seek': ['https://www.seek.com.au/companies/victoria-police-432505/reviews', 'https://www.seek.com.au/companies/queensland-police-service-432494/reviews']}"
74946,red rooster,restaurants,,5001-10000,1972.0,linkedin.com/company/red-rooster,https://au.indeed.com/cmp/Red-Rooster/reviews,833,https://www.seek.com.au/companies/red-rooster-432308/reviews,300,1133,Unknown,"[[0.8, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Red-Rooster/reviews'], 'seek': ['https://www.seek.com.au/companies/red-rooster-432308/reviews']}"
77900,machine generation pty ltd,publishing,victoria,10001+,2012.0,linkedin.com/company/machine-generation-pty-ltd,,0,https://www.seek.com.au/companies/generation-marketing-group-437285/reviews,7,7,Unknown,"[[0.35, 0.38, 0.36, 0.31, 0.33, 0.22], [0.33, 0.48, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Triple-M-Holdings/reviews', 'https://au.indeed.com/cmp/General-Business-Machines/reviews', 'https://au.indeed.com/cmp/Link-Group/reviews', 'https://au.indeed.com/cmp/Hitachi-Construction-Machinery/reviews', 'https://au.indeed.com/cmp/Gmp-Pharmaceuticals-Pty-Ltd/reviews', 'https://au.indeed.com/cmp/Smart-Energy-d89f6363/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/generation-marketing-group-437285/reviews']}"
83413,sureway employment and training,staffing and recruiting,new south wales,5001-10000,1991.0,linkedin.com/company/sureway-employment-and-training,https://au.indeed.com/cmp/Sureway-Employment-and-Training/reviews,7,https://www.seek.com.au/companies/sureway-employment-and-training-813264/reviews,76,83,Unknown,"[[0.85, 0.66, 0, 0, 0, 0], [0.86, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sureway-Employment-and-Training/reviews', 'https://au.indeed.com/cmp/Sureway-Employment/reviews'], 'seek': ['https://www.seek.com.au/companies/sureway-employment-and-training-813264/reviews']}"
84410,melbourne health,hospital & health care,,10001+,1848.0,linkedin.com/company/melbourne-health,https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews,47,https://www.seek.com.au/companies/melbourne-health-433039/reviews,46,93,Unknown,"[[0.62, 0, 0, 0, 0.44, 0.21], [0, 0.78, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews', 'https://au.indeed.com/cmp/Melbourne-Private-Hospital/reviews', 'https://au.indeed.com/cmp/Healthcare-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/melbourne-health-433039/reviews']}"
86417,agis - a downer company,information technology and services,act,10001+,2008.0,linkedin.com/company/agis-group-pty-ltd,https://au.indeed.com/cmp/Downer-Group/reviews,303,https://www.seek.com.au/companies/downer-432325/reviews,918,1221,Unknown,"[[0.55, 0, 0, 0, 0, 0], [0, 0.45, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Downer-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/downer-432325/reviews']}"
87114,village cinemas australia,entertainment,,5001-10000,,linkedin.com/company/village-cinemas,https://au.indeed.com/cmp/Village-Cinema/reviews,5,https://www.seek.com.au/companies/village-cinemas-433009/reviews,35,40,Unknown,"[[0.67, 0, 0.6, 0, 0, 0], [0.7, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Village-Cinema/reviews', 'https://au.indeed.com/cmp/Village-Cinemas/reviews'], 'seek': ['https://www.seek.com.au/companies/village-cinemas-433009/reviews']}"
98760,people infrastructure,staffing and recruiting,,10001+,,linkedin.com/company/people-infrastructure,https://au.indeed.com/cmp/Department-of-Infrastructure/reviews,6,,0,6,Unknown,"[[0.74, 0, 0, 0.62, 0.16, 0], [0, 0, 0, 0.19, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Department-of-Infrastructure/reviews', 'https://au.indeed.com/cmp/Connect-Infrastructure/reviews', 'https://au.indeed.com/cmp/Ausenco/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews']}"
108020,bakers delight,retail,,5001-10000,1980.0,linkedin.com/company/bakers-delight,https://au.indeed.com/cmp/Bakers-Delight/reviews,514,,0,514,Unknown,"[[0.84, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Bakers-Delight/reviews'], 'seek': []}"
