error,index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
279,108743,australia,1984.0,sewellsmsxi,automotive,linkedin.com/company/sewellsmsxi,nan,sewells msxi,victoria,5001-10000,sewells-msxi.com
916,44252,australia,1856.0,government-of-south-australia,government administration,linkedin.com/company/government-of-south-australia,adelaide,"department of the premier and cabinet, government of south australia",south australia,1001-5000,priorities.sa.gov.au
1590,59944,australia,1970.0,pizza-hut-australia,restaurants,linkedin.com/company/pizza-hut-australia,macquarie park,pizza hut australia,new south wales,1001-5000,pizzahut.com.au
