index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
371,australia,nan,laser-electrical,electrical/electronic manufacturing,linkedin.com/company/laser-electrical,nan,laser electrical,nan,1001-5000,laserelectrical.com.au
433,australia,1901.0,telstra,telecommunications,linkedin.com/company/telstra,nan,telstra,victoria,10001+,telstra.com
1890,australia,1989.0,accentureaustralia,information technology and services,linkedin.com/company/accentureaustralia,melbourne,accenture australia,victoria,10001+,nan
1996,australia,2001.0,accenture-australia-holdings-pty.-ltd.,nan,linkedin.com/company/accenture-australia-holdings-pty.-ltd.,sydney,accenture australia holdings pty. ltd.,new south wales,1001-5000,nan
