index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
73557,victoria police,law enforcement,victoria,10001+,1853.0,linkedin.com/company/victoriapolice,https://au.indeed.com/cmp/Victoria-Police/reviews,57,https://www.seek.com.au/companies/victoria-police-432505/reviews,106,163,Unknown,"[[0.85, 0, 0, 0, 0, 0], [0.82, 0.42, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Victoria-Police/reviews'], 'seek': ['https://www.seek.com.au/companies/victoria-police-432505/reviews', 'https://www.seek.com.au/companies/queensland-police-service-432494/reviews']}"
77900,machine generation pty ltd,publishing,victoria,10001+,2012.0,linkedin.com/company/machine-generation-pty-ltd,,0,https://www.seek.com.au/companies/generation-marketing-group-437285/reviews,7,7,Unknown,"[[0.35, 0.38, 0.36, 0.31, 0.33, 0.22], [0.33, 0.48, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Triple-M-Holdings/reviews', 'https://au.indeed.com/cmp/General-Business-Machines/reviews', 'https://au.indeed.com/cmp/Link-Group/reviews', 'https://au.indeed.com/cmp/Hitachi-Construction-Machinery/reviews', 'https://au.indeed.com/cmp/Gmp-Pharmaceuticals-Pty-Ltd/reviews', 'https://au.indeed.com/cmp/Smart-Energy-d89f6363/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/generation-marketing-group-437285/reviews']}"
84410,melbourne health,hospital & health care,,10001+,1848.0,linkedin.com/company/melbourne-health,https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews,47,https://www.seek.com.au/companies/melbourne-health-433039/reviews,46,93,Unknown,"[[0.62, 0, 0, 0, 0.44, 0.21], [0, 0.78, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews', 'https://au.indeed.com/cmp/Melbourne-Private-Hospital/reviews', 'https://au.indeed.com/cmp/Healthcare-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/melbourne-health-433039/reviews']}"
86417,agis - a downer company,information technology and services,act,10001+,2008.0,linkedin.com/company/agis-group-pty-ltd,https://au.indeed.com/cmp/Downer-Group/reviews,303,https://www.seek.com.au/companies/downer-432325/reviews,918,1221,Unknown,"[[0.55, 0, 0, 0, 0, 0], [0, 0.45, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Downer-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/downer-432325/reviews']}"
98760,people infrastructure,staffing and recruiting,,10001+,,linkedin.com/company/people-infrastructure,https://au.indeed.com/cmp/Department-of-Infrastructure/reviews,6,,0,6,Unknown,"[[0.74, 0, 0, 0.62, 0.16, 0], [0, 0, 0, 0.19, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Department-of-Infrastructure/reviews', 'https://au.indeed.com/cmp/Connect-Infrastructure/reviews', 'https://au.indeed.com/cmp/Ausenco/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews']}"
146802,infinity downline,marketing and advertising,,10001+,,linkedin.com/company/infinity-downline_2,https://www.indeed.com/cmp/Infinity-Downline/reviews,0,https://www.seek.com.au/companies/infinity-holidays-806519/reviews,8,8,Unknown,"[[0.87, 0, 0.59, 0.27, 0.44, 0.17], [0, 0.6, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Infinity-Downline/reviews', 'https://au.indeed.com/cmp/Infinity-Holidays/reviews', 'https://au.indeed.com/cmp/Concentrix/reviews', 'https://www.indeed.com/cmp/Infinity-3/reviews', 'https://au.indeed.com/cmp/Spotlight/reviews'], 'seek': ['https://www.seek.com.au/companies/infinity-holidays-806519/reviews']}"
149394,linfox,logistics and supply chain,victoria,10001+,1956.0,linkedin.com/company/linfox,https://au.indeed.com/cmp/Linfox/reviews,140,https://www.seek.com.au/companies/linfox-432404/reviews,340,480,Unknown,"[[0.88, 0, 0, 0, 0, 0], [0.72, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Linfox/reviews'], 'seek': ['https://www.seek.com.au/companies/linfox-432404/reviews']}"
47723,cpb contractors,construction,,10001+,1949.0,linkedin.com/company/cpb-contractors,https://au.indeed.com/cmp/Cpb-Contractors/reviews,50,https://www.seek.com.au/companies/cpb-contractors-813354/reviews,386,436,Unknown,"[[0.85, 0, 0, 0, 0, 0.17], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Cpb-Contractors/reviews', 'https://au.indeed.com/cmp/Cpb/reviews'], 'seek': ['https://www.seek.com.au/companies/cpb-contractors-813354/reviews']}"
79796,department of health (wa health),hospital & health care,western australia,10001+,,linkedin.com/company/health-department-western-australia,https://au.indeed.com/cmp/Department-of-Health/reviews,29,https://www.seek.com.au/companies/wa-health-795936/reviews,34,63,Unknown,"[[0, 0.66, 0, 0, 0, 0.35], [0, 0.42, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Department-of-Health/reviews', 'https://www.indeed.com/cmp/Washington-State-Department-of-Health/reviews'], 'seek': ['https://www.seek.com.au/companies/wa-health-795936/reviews']}"
166526,sydney catholic schools,primary/secondary education,,10001+,,linkedin.com/company/sydney-catholic-schools,https://au.indeed.com/cmp/Sydney-Catholic-Schools/reviews,5,https://www.seek.com.au/companies/sydney-catholic-schools-967498/reviews,14,19,Unknown,"[[0.84, 0.48, 0.48, 0, 0, 0.24], [0, 0.79, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sydney-Catholic-Schools/reviews', 'https://au.indeed.com/cmp/Catholic-Education-Office/reviews', 'https://au.indeed.com/cmp/Catholic-Education/reviews', 'https://au.indeed.com/cmp/Catholic-Healthcare-Limited/reviews'], 'seek': ['https://www.seek.com.au/companies/sydney-catholic-schools-967498/reviews']}"
203623,dreamlab app,research,,10001+,,linkedin.com/company/dreamlabapp,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0.28, 0, 0.12, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/app-corporation-813574/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews']}"
140525,northern territory government,government administration,,10001+,,linkedin.com/company/ntgovernment,https://au.indeed.com/cmp/Northern-Territory-Government/reviews,21,https://www.seek.com.au/companies/northern-territory-phn-813690/reviews,11,32,Unknown,"[[0.87, 0, 0, 0, 0, 0], [0, 0, 0, 0.57, 0.23, 0]]","{'indeed': ['https://au.indeed.com/cmp/Northern-Territory-Government/reviews'], 'seek': ['https://www.seek.com.au/companies/northern-territory-phn-813690/reviews', 'https://www.seek.com.au/companies/city-of-darwin-805338/reviews']}"
160204,sa health,hospital & health care,south australia,10001+,,linkedin.com/company/sa-health,https://au.indeed.com/cmp/Sa-Health/reviews,38,https://www.seek.com.au/companies/sa-health-432710/reviews,101,139,Unknown,"[[0.75, 0, 0, 0, 0, 0], [0, 0.68, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sa-Health/reviews'], 'seek': ['https://www.seek.com.au/companies/sa-health-432710/reviews']}"
181209,the university of queensland,higher education,queensland,10001+,1909.0,linkedin.com/company/university-of-queensland,https://au.indeed.com/cmp/The-University-of-Queensland/reviews,104,https://www.seek.com.au/companies/the-university-of-queensland-432368/reviews,171,275,Unknown,"[[0.84, 0, 0, 0, 0, 0], [0.85, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/The-University-of-Queensland/reviews'], 'seek': ['https://www.seek.com.au/companies/the-university-of-queensland-432368/reviews']}"
195154,secure parking,commercial real estate,,10001+,1979.0,linkedin.com/company/secure-parking,https://au.indeed.com/cmp/Secure-Parking/reviews,21,https://www.seek.com.au/companies/secure-parking-433689/reviews,38,59,Unknown,"[[0.84, 0, 0, 0, 0, 0], [0.81, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Secure-Parking/reviews'], 'seek': ['https://www.seek.com.au/companies/secure-parking-433689/reviews']}"
27953,qantas,airlines/aviation,,10001+,1920.0,linkedin.com/company/qantas,https://au.indeed.com/cmp/Qantas/reviews,357,https://www.seek.com.au/companies/qantas-airways-432340/reviews,441,798,Unknown,"[[0.88, 0, 0, 0, 0, 0], [0.58, 0, 0.54, 0.45, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Qantas/reviews'], 'seek': ['https://www.seek.com.au/companies/qantas-airways-432340/reviews', 'https://www.seek.com.au/companies/qantaslink-434003/reviews', 'https://www.seek.com.au/companies/qantasfreight-753102/reviews']}"
88263,als,mining & metals,queensland,10001+,1863.0,linkedin.com/company/als,https://au.indeed.com/cmp/Als/reviews,19,https://www.seek.com.au/companies/als-limited-435040/reviews,115,134,Unknown,"[[0.75, 0, 0.36, 0, 0, 0], [0, 0.41, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Als/reviews', 'https://au.indeed.com/cmp/Als-Limited/reviews'], 'seek': ['https://www.seek.com.au/companies/als-limited-435040/reviews']}"
91358,downer,civil engineering,,10001+,1933.0,linkedin.com/company/downer,https://au.indeed.com/cmp/Downer-Group/reviews,303,https://www.seek.com.au/companies/downer-432325/reviews,918,1221,Unknown,"[[0.67, 0, 0, 0, 0, 0], [0.72, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Downer-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/downer-432325/reviews']}"
102689,myer,retail,victoria,10001+,1900.0,linkedin.com/company/myer,https://au.indeed.com/cmp/Myer/reviews,422,https://www.seek.com.au/companies/myer-432316/reviews,617,1039,Unknown,"[[0.81, 0.7, 0, 0, 0, 0], [0.65, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Myer/reviews', 'https://au.indeed.com/cmp/Myers/reviews'], 'seek': ['https://www.seek.com.au/companies/myer-432316/reviews']}"
