name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
optimal transnational pty. ltd.,information technology and services,,501-1000,2007.0,linkedin.com/company/otpl-pty-ltd-,,0,,0,0,Incorrect,"[[0, 0, 0, 0, 0, 0], [0.29, 0.29, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/golden-circle-433858/reviews']}"
vibe hotels,hospitality,new south wales,1001-5000,1982.0,linkedin.com/company/vibe-hotels,,0,https://www.seek.com.au/companies/vibe-hotels-753406/reviews,7,7,Correct,"[[0, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/vibe-hotels-753406/reviews']}"
community living australia,non-profit organization management,south australia,501-1000,2015.0,linkedin.com/company/community-living-australia,https://au.indeed.com/cmp/Community-Living-Australia/reviews,8,https://www.seek.com.au/companies/community-living-australia-899206/reviews,6,14,Correct,"[[0.86, 0, 0, 0, 0, 0.49], [0, 0.81, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Community-Living-Australia/reviews', 'https://au.indeed.com/cmp/Independent-Community-Living-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/community-living-australia-899206/reviews']}"
gjk facility services,facilities services,victoria,1001-5000,1985.0,linkedin.com/company/gjk-facility-services,,0,https://www.seek.com.au/companies/gjk-facility-services-834413/reviews,20,20,Incorrect,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0.58]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/gjk-facility-services-834413/reviews']}"
westrac cat,machinery,,1001-5000,1990.0,linkedin.com/company/westrac,https://au.indeed.com/cmp/Westrac/reviews,52,https://www.seek.com.au/companies/westrac-432425/reviews,239,291,Correct,"[[0.75, 0, 0, 0, 0, 0], [0.67, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Westrac/reviews'], 'seek': ['https://www.seek.com.au/companies/westrac-432425/reviews']}"
the gabba,events services,queensland,1001-5000,1895.0,linkedin.com/company/the-gabba,https://au.indeed.com/cmp/O'brien-Group-(gabba-Stadium)/reviews,2,https://www.seek.com.au/companies/the-gabba-795828/reviews,3,5,Correct,"[[0, 0.44, 0, 0, 0.14, 0], [0.73, 0, 0, 0.21, 0, 0]]","{'indeed': [""https://au.indeed.com/cmp/O'brien-Group-(gabba-Stadium)/reviews"", ""https://au.indeed.com/cmp/O'brien-Group-Australia/reviews""], 'seek': ['https://www.seek.com.au/companies/the-gabba-795828/reviews', 'https://www.seek.com.au/companies/brisbane-markets-limited-814540/reviews']}"
national indigenous australians agency,government administration,act,1001-5000,2019.0,linkedin.com/company/national-indigenous-australians-agency,,0,,0,0,Incorrect,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': []}"
dreampath recruitment,staffing and recruiting,queensland,1001-5000,2018.0,linkedin.com/company/dreampathrecruitment,https://au.indeed.com/cmp/Programmed/reviews,169,,0,169,Incorrect,"[[0.49, 0.4, 0.28, 0.29, 0, 0.2], [0.34, 0, 0, 0, 0.3, 0.2]]","{'indeed': ['https://au.indeed.com/cmp/Programmed/reviews', 'https://au.indeed.com/cmp/Sa-Health/reviews', 'https://au.indeed.com/cmp/Australia-Post/reviews', 'https://au.indeed.com/cmp/Concentrix/reviews', 'https://au.indeed.com/cmp/Workforce-International/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/pathtech-946999/reviews', 'https://www.seek.com.au/companies/careers-australia-433152/reviews']}"
victory & indian motorcycle australia,automotive,,5001-10000,1998.0,linkedin.com/company/victory-motorcycles-australia,https://www.indeed.com/cmp/Indian-Motorcycle/reviews,0,https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews,21,21,Incorrect,"[[0.42, 0.59, 0.41, 0.4, 0, 0.26], [0.54, 0.31, 0, 0, 0.08, 0.11]]","{'indeed': ['https://au.indeed.com/cmp/Melbourne-Victory/reviews', 'https://www.indeed.com/cmp/Indian-Motorcycle/reviews', 'https://au.indeed.com/cmp/Victory-College/reviews', 'https://au.indeed.com/cmp/Victory-Hotel/reviews', 'https://au.indeed.com/cmp/A1-Motor-Cycles/reviews'], 'seek': ['https://www.seek.com.au/companies/motorcycle-holdings-939464/reviews', 'https://www.seek.com.au/companies/winning-group-436752/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/online-education-services-986010/reviews']}"
ausnet services,utilities,,1001-5000,,linkedin.com/company/ausnetservices,https://au.indeed.com/cmp/Ausnet-Services/reviews,7,https://www.seek.com.au/companies/ausnet-services-433075/reviews,59,66,Correct,"[[0.56, 0.8, 0.6, 0, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sp-Ausnet/reviews', 'https://au.indeed.com/cmp/Ausnet-Services/reviews', 'https://au.indeed.com/cmp/Aestec-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/ausnet-services-433075/reviews']}"
australian home care,non-profit organization management,,1001-5000,1986.0,linkedin.com/company/australian-home-care,https://au.indeed.com/cmp/Australian-Home-Care/reviews,24,https://www.seek.com.au/companies/australian-home-care-434283/reviews,41,65,Correct,"[[0.81, 0.66, 0.51, 0.45, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Home-Care/reviews', 'https://au.indeed.com/cmp/Australian-Home-Care-Services/reviews', 'https://au.indeed.com/cmp/Homecare-Australia/reviews', 'https://au.indeed.com/cmp/Home-Care-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/australian-home-care-434283/reviews']}"
adt security australia,security and investigations,,501-1000,,linkedin.com/company/adt-security-australia,https://au.indeed.com/cmp/Adt-Security-Services/reviews,18,https://www.seek.com.au/companies/adt-security-433309/reviews,20,38,Correct,"[[0.63, 0, 0, 0, 0, 0], [0.65, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Adt-Security-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/adt-security-433309/reviews']}"
dowell windows pty ltd,building materials,,501-1000,1860.0,linkedin.com/company/dowell-windows-pty-ltd,https://au.indeed.com/cmp/Dowell-Windows/reviews,7,https://www.seek.com.au/companies/dowell-windows-435609/reviews,51,58,Correct,"[[0.71, 0.47, 0, 0, 0, 0], [0, 0.65, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Dowell-Windows/reviews', 'https://au.indeed.com/cmp/Dowell/reviews'], 'seek': ['https://www.seek.com.au/companies/dowell-windows-435609/reviews']}"
gadens,law practice,,501-1000,,linkedin.com/company/gadens-lawyers,https://au.indeed.com/cmp/Gadens-Lawyers/reviews,8,https://www.seek.com.au/companies/gadens-lawyers-433038/reviews,36,44,Correct,"[[0.62, 0, 0, 0, 0, 0], [0.58, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Gadens-Lawyers/reviews'], 'seek': ['https://www.seek.com.au/companies/gadens-lawyers-433038/reviews']}"
the nova group of companies,management consulting,south australia,501-1000,1999.0,linkedin.com/company/the-nova-group-of-companies,https://www.indeed.com/cmp/Nova-Group/reviews,0,https://www.seek.com.au/companies/nova-employment-436171/reviews,5,5,Incorrect,"[[0.53, 0.49, 0, 0, 0, 0.21], [0.46, 0, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Nova-Group/reviews', 'https://www.indeed.com/cmp/Nova-Group,-Inc/reviews', 'https://au.indeed.com/cmp/Nova-Employment/reviews'], 'seek': ['https://www.seek.com.au/companies/nova-employment-436171/reviews']}"
soprema australia,building materials,,1001-5000,1908.0,linkedin.com/company/soprema-australia,https://www.indeed.com/cmp/Soprema/reviews,0,,0,0,Incorrect,"[[0, 0.57, 0, 0, 0, 0], [0, 0, 0, 0.26, 0.16, 0.36]]","{'indeed': ['https://www.indeed.com/cmp/Soprema/reviews'], 'seek': ['https://www.seek.com.au/companies/ahpra-434125/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/australia-post-432307/reviews']}"
abn group,construction,,1001-5000,1978.0,linkedin.com/company/abn-group,https://au.indeed.com/cmp/Abn-Group/reviews,14,https://www.seek.com.au/companies/abn-group-806732/reviews,24,38,Correct,"[[0, 0.7, 0, 0, 0, 0], [0.73, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Abn-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/abn-group-806732/reviews']}"
stockdale & leggo,real estate,,501-1000,1936.0,linkedin.com/company/stockdaleleggo,https://au.indeed.com/cmp/Stockdale-&-Leggo/reviews,6,https://www.seek.com.au/companies/stockdale-n-leggo-434765/reviews,26,32,Correct,"[[0.82, 0, 0, 0, 0, 0], [0.76, 0, 0.32, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Stockdale-&-Leggo/reviews'], 'seek': ['https://www.seek.com.au/companies/stockdale-n-leggo-434765/reviews', 'https://www.seek.com.au/companies/place-estate-agents-753018/reviews']}"
diva,retail,,1001-5000,,linkedin.com/company/diva_2,https://www.indeed.com/cmp/Diva's/reviews,0,,0,0,Correct,"[[0, 0.65, 0, 0, 0.33, 0], [0, 0, 0.15, 0, 0.15, 0]]","{'indeed': [""https://www.indeed.com/cmp/Diva's/reviews"", 'https://www.indeed.com/cmp/Diva-Express/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/each-861217/reviews']}"
kamco,information technology and services,victoria,1001-5000,,linkedin.com/company/kamco,https://www.indeed.com/cmp/Kamco/reviews,0,,0,0,Incorrect,"[[0.85, 0.49, 0.47, 0.37, 0, 0], [0, 0, 0, 0, 0.14, 0.26]]","{'indeed': ['https://www.indeed.com/cmp/Kamco/reviews', 'https://www.indeed.com/cmp/Kamco-Industries/reviews', 'https://www.indeed.com/cmp/Kamco-Services/reviews', 'https://www.indeed.com/cmp/Kamco-Supply-Corp/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/camec-437099/reviews']}"
victoria police,law enforcement,victoria,10001+,1853.0,linkedin.com/company/victoriapolice,https://au.indeed.com/cmp/Victoria-Police/reviews,57,https://www.seek.com.au/companies/victoria-police-432505/reviews,106,163,Correct,"[[0.85, 0, 0, 0, 0, 0], [0.82, 0.42, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Victoria-Police/reviews'], 'seek': ['https://www.seek.com.au/companies/victoria-police-432505/reviews', 'https://www.seek.com.au/companies/queensland-police-service-432494/reviews']}"
red rooster,restaurants,,5001-10000,1972.0,linkedin.com/company/red-rooster,https://au.indeed.com/cmp/Red-Rooster/reviews,833,https://www.seek.com.au/companies/red-rooster-432308/reviews,300,1133,Correct,"[[0.8, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Red-Rooster/reviews'], 'seek': ['https://www.seek.com.au/companies/red-rooster-432308/reviews']}"
william angliss institute,higher education,victoria,501-1000,1940.0,linkedin.com/company/william-angliss-institute,https://au.indeed.com/cmp/William-Angliss-Institute/reviews,9,https://www.seek.com.au/companies/william-angliss-insititute-of-tafe-434029/reviews,19,28,Correct,"[[0.85, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/William-Angliss-Institute/reviews'], 'seek': ['https://www.seek.com.au/companies/william-angliss-insititute-of-tafe-434029/reviews']}"
machine generation pty ltd,publishing,victoria,10001+,2012.0,linkedin.com/company/machine-generation-pty-ltd,,0,https://www.seek.com.au/companies/generation-marketing-group-437285/reviews,7,7,Incorrect,"[[0.35, 0.38, 0.36, 0.31, 0.33, 0.22], [0.33, 0.48, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Triple-M-Holdings/reviews', 'https://au.indeed.com/cmp/General-Business-Machines/reviews', 'https://au.indeed.com/cmp/Link-Group/reviews', 'https://au.indeed.com/cmp/Hitachi-Construction-Machinery/reviews', 'https://au.indeed.com/cmp/Gmp-Pharmaceuticals-Pty-Ltd/reviews', 'https://au.indeed.com/cmp/Smart-Energy-d89f6363/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/generation-marketing-group-437285/reviews']}"
department for environment and water,renewables & environment,south australia,1001-5000,,linkedin.com/company/department-for-environment-and-water,https://au.indeed.com/cmp/Department-For-Environment-and-Water/reviews,3,https://www.seek.com.au/companies/australian-department-of-the-environment-795370/reviews,5,8,Incorrect,"[[0.83, 0.49, 0, 0.61, 0.38, 0], [0, 0, 0, 0.5, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Department-For-Environment-and-Water/reviews', 'https://au.indeed.com/cmp/Australian-Government-Department-of-Agriculture-and-Water-Resources/reviews', 'https://au.indeed.com/cmp/Department-of-the-Environment-and-Energy/reviews', 'https://au.indeed.com/cmp/Austspray-Environmental/reviews'], 'seek': ['https://www.seek.com.au/companies/australian-department-of-the-environment-795370/reviews']}"
sureway employment and training,staffing and recruiting,new south wales,5001-10000,1991.0,linkedin.com/company/sureway-employment-and-training,https://au.indeed.com/cmp/Sureway-Employment-and-Training/reviews,7,https://www.seek.com.au/companies/sureway-employment-and-training-813264/reviews,76,83,Correct,"[[0.85, 0.66, 0, 0, 0, 0], [0.86, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Sureway-Employment-and-Training/reviews', 'https://au.indeed.com/cmp/Sureway-Employment/reviews'], 'seek': ['https://www.seek.com.au/companies/sureway-employment-and-training-813264/reviews']}"
melbourne health,hospital & health care,,10001+,1848.0,linkedin.com/company/melbourne-health,https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews,47,https://www.seek.com.au/companies/melbourne-health-433039/reviews,46,93,Correct,"[[0.62, 0, 0, 0, 0.44, 0.21], [0, 0.78, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Royal-Melbourne-Hospital/reviews', 'https://au.indeed.com/cmp/Melbourne-Private-Hospital/reviews', 'https://au.indeed.com/cmp/Healthcare-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/melbourne-health-433039/reviews']}"
bulla dairy foods,dairy,victoria,501-1000,1910.0,linkedin.com/company/bulla-dairy-foods,https://au.indeed.com/cmp/Bulla-Dairy-Foods/reviews,7,https://www.seek.com.au/companies/bulla-dairy-foods-436061/reviews,22,29,Correct,"[[0.78, 0, 0, 0, 0, 0], [0.8, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Bulla-Dairy-Foods/reviews'], 'seek': ['https://www.seek.com.au/companies/bulla-dairy-foods-436061/reviews']}"
agis - a downer company,information technology and services,act,10001+,2008.0,linkedin.com/company/agis-group-pty-ltd,https://au.indeed.com/cmp/Downer-Group/reviews,303,https://www.seek.com.au/companies/downer-432325/reviews,918,1221,Correct,"[[0.55, 0, 0, 0, 0, 0], [0, 0.45, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Downer-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/downer-432325/reviews']}"
village cinemas australia,entertainment,,5001-10000,,linkedin.com/company/village-cinemas,https://au.indeed.com/cmp/Village-Cinema/reviews,5,https://www.seek.com.au/companies/village-cinemas-433009/reviews,35,40,Correct,"[[0.67, 0, 0.6, 0, 0, 0], [0.7, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Village-Cinema/reviews', 'https://au.indeed.com/cmp/Village-Cinemas/reviews'], 'seek': ['https://www.seek.com.au/companies/village-cinemas-433009/reviews']}"
abt associates - australia,management consulting,queensland,501-1000,1999.0,linkedin.com/company/abtassociates-au,https://au.indeed.com/cmp/Abt-Associates/reviews,4,,0,4,Correct,"[[0.66, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Abt-Associates/reviews'], 'seek': []}"
horsepower australia,non-profit organization management,western australia,501-1000,1972.0,linkedin.com/company/horsepower-australia,,0,,0,0,Incorrect,"[[0.25, 0, 0, 0, 0, 0], [0.35, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/HP/reviews'], 'seek': ['https://www.seek.com.au/companies/hp-432352/reviews']}"
tasman market fresh meats,retail,victoria,501-1000,,linkedin.com/company/tasman-market-fresh-meats,https://au.indeed.com/cmp/Tasman-Market-Fresh-Meats/reviews,2,https://www.seek.com.au/companies/tasman-market-fresh-meats-813423/reviews,6,8,Correct,"[[0.79, 0.56, 0, 0, 0, 0], [0.83, 0.57, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Tasman-Market-Fresh-Meats/reviews', 'https://au.indeed.com/cmp/Tasman-Meats/reviews'], 'seek': ['https://www.seek.com.au/companies/tasman-market-fresh-meats-813423/reviews', 'https://www.seek.com.au/companies/tasman-meats-435909/reviews']}"
biztech enterprise solutions,information technology and services,,1001-5000,2008.0,linkedin.com/company/biztech-enterprise-solutions,https://www.indeed.com/cmp/Biztech/reviews,1,,0,1,Correct,"[[0.51, 0, 0, 0, 0, 0], [0, 0, 0.21, 0.35, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Biztech/reviews'], 'seek': ['https://www.seek.com.au/companies/australia-post-432307/reviews', 'https://www.seek.com.au/companies/agrifood-technology-989798/reviews']}"
mbf,insurance,,1001-5000,,linkedin.com/company/mbf,https://www.indeed.com/cmp/Mbf/reviews,0,,0,0,Incorrect,"[[0.75, 0, 0, 0.24, 0.28, 0], [0, 0, 0.2, 0.1, 0.05, 0]]","{'indeed': ['https://www.indeed.com/cmp/Mbf/reviews', 'https://www.indeed.com/cmp/Mbf-Industries-Inc/reviews', 'https://www.indeed.com/cmp/Mbf-Agency/reviews'], 'seek': ['https://www.seek.com.au/companies/build-a-bear-workshop-864415/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/golden-circle-433858/reviews']}"
people infrastructure,staffing and recruiting,,10001+,,linkedin.com/company/people-infrastructure,https://au.indeed.com/cmp/Department-of-Infrastructure/reviews,6,,0,6,Incorrect,"[[0.74, 0, 0, 0.62, 0.16, 0], [0, 0, 0, 0.19, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Department-of-Infrastructure/reviews', 'https://au.indeed.com/cmp/Connect-Infrastructure/reviews', 'https://au.indeed.com/cmp/Ausenco/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews']}"
reading entertainment australia pty ltd,entertainment,,501-1000,1996.0,linkedin.com/company/reading-entertainment-australia-pty-ltd,https://au.indeed.com/cmp/Reading-Cinemas/reviews,23,https://www.seek.com.au/companies/reading-cinemas-433474/reviews,22,45,Correct,"[[0, 0, 0.46, 0, 0.12, 0], [0.55, 0, 0, 0.13, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Reading-Cinemas/reviews', 'https://au.indeed.com/cmp/Myer/reviews'], 'seek': ['https://www.seek.com.au/companies/reading-cinemas-433474/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews']}"
uxc (a csc company),information technology and services,victoria,1001-5000,2002.0,linkedin.com/company/uxc,https://au.indeed.com/cmp/Uxc-Connect/reviews,3,https://www.seek.com.au/companies/csc-432492/reviews,81,84,Incorrect,"[[0.45, 0, 0.15, 0, 0.18, 0], [0.41, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Uxc-Connect/reviews', 'https://au.indeed.com/cmp/CSC/reviews', 'https://au.indeed.com/cmp/Computer-Science-Corporation/reviews'], 'seek': ['https://www.seek.com.au/companies/csc-432492/reviews']}"
tal australia,insurance,,1001-5000,1869.0,linkedin.com/company/talaustralia,https://au.indeed.com/cmp/Tal-Insurance/reviews,2,,0,2,Incorrect,"[[0.54, 0, 0, 0, 0, 0], [0, 0.4, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Tal-Insurance/reviews'], 'seek': ['https://www.seek.com.au/companies/tal-834026/reviews']}"
erg transit systems,information technology and services,western australia,501-1000,,linkedin.com/company/erg-transit-systems,https://www.indeed.com/cmp/Transit-Systems/reviews,13,,0,13,Incorrect,"[[0, 0, 0.68, 0, 0, 0], [0, 0, 0.25, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Transit-Systems/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews']}"
bakers delight,retail,,5001-10000,1980.0,linkedin.com/company/bakers-delight,https://au.indeed.com/cmp/Bakers-Delight/reviews,514,,0,514,Correct,"[[0.84, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Bakers-Delight/reviews'], 'seek': []}"
grant thornton australia,accounting,,1001-5000,,linkedin.com/company/grant-thornton-australia,https://au.indeed.com/cmp/Grant-Thornton/reviews,7,https://www.seek.com.au/companies/grant-thornton-432763/reviews,55,62,Correct,"[[0.68, 0, 0, 0, 0, 0], [0.68, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Grant-Thornton/reviews'], 'seek': ['https://www.seek.com.au/companies/grant-thornton-432763/reviews']}"
red energy,utilities,victoria,501-1000,2004.0,linkedin.com/company/red-energy,,0,https://www.seek.com.au/companies/red-energy-433341/reviews,62,62,Incorrect,"[[0, 0, 0, 0, 0, 0], [0, 0, 0.65, 0.46, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/red-energy-433341/reviews', 'https://www.seek.com.au/companies/arrow-energy-432831/reviews']}"
ventura health pty ltd,"health, wellness and fitness",,501-1000,2014.0,linkedin.com/company/ventura-health,https://au.indeed.com/cmp/Ventura/reviews,3,https://www.seek.com.au/companies/ventura-home-group-813686/reviews,19,22,Incorrect,"[[0.56, 0, 0.44, 0.45, 0, 0], [0.57, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Ventura/reviews', 'https://au.indeed.com/cmp/Department-of-Health/reviews', 'https://www.indeed.com/cmp/Ventura-Convalescent-Hospital/reviews'], 'seek': ['https://www.seek.com.au/companies/ventura-home-group-813686/reviews']}"
george weston foods,consumer goods,,1001-5000,,linkedin.com/company/george-weston-foods,https://au.indeed.com/cmp/George-Weston-Foods/reviews,24,https://www.seek.com.au/companies/george-weston-foods-432942/reviews,65,89,Correct,"[[0.8, 0, 0, 0, 0, 0], [0, 0.77, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/George-Weston-Foods/reviews'], 'seek': ['https://www.seek.com.au/companies/george-weston-foods-432942/reviews']}"
carnival australia,"leisure, travel & tourism",new south wales,1001-5000,,linkedin.com/company/carnival-australia_2,https://au.indeed.com/cmp/Carnival-Australia/reviews,9,https://www.seek.com.au/companies/carnival-australia-433945/reviews,11,20,Correct,"[[0.61, 0.82, 0, 0.5, 0.44, 0], [0, 0.79, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Carnival-Cruise-Line/reviews', 'https://au.indeed.com/cmp/Carnival-Australia/reviews', 'https://au.indeed.com/cmp/Carnival/reviews', 'https://au.indeed.com/cmp/Carnival-Corporation/reviews'], 'seek': ['https://www.seek.com.au/companies/carnival-australia-433945/reviews']}"
morris group holdings,financial services,victoria,1001-5000,,linkedin.com/company/morris_group,https://au.indeed.com/cmp/Morris-Corp/reviews,76,https://www.seek.com.au/companies/morris-corporation-432820/reviews,113,189,Correct,"[[0.58, 0.58, 0, 0, 0, 0], [0.61, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Morris-Corp/reviews', 'https://www.indeed.com/cmp/Morris-Group,-Inc./reviews'], 'seek': ['https://www.seek.com.au/companies/morris-corporation-432820/reviews']}"
chris o'brien lifehouse,hospital & health care,new south wales,501-1000,2009.0,linkedin.com/company/chrisobrienlifehouse,https://au.indeed.com/cmp/Chris-O'brien-Lifehouse/reviews,8,https://www.seek.com.au/companies/chris-obrien-lifehouse-609486/reviews,31,39,Correct,"[[0.84, 0, 0, 0, 0, 0], [0.83, 0, 0, 0, 0, 0]]","{'indeed': [""https://au.indeed.com/cmp/Chris-O'brien-Lifehouse/reviews""], 'seek': ['https://www.seek.com.au/companies/chris-obrien-lifehouse-609486/reviews']}"
gorgon lng project.,oil & energy,,5001-10000,,linkedin.com/company/gorgon-lng-project.,https://au.indeed.com/cmp/Gorgon-Project/reviews,10,,0,10,Incorrect,"[[0.75, 0, 0.27, 0, 0.17, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Gorgon-Project/reviews', 'https://au.indeed.com/cmp/Chevron/reviews', 'https://au.indeed.com/cmp/Saipem/reviews'], 'seek': []}"
melbourne & olympic parks,entertainment,,1001-5000,1995.0,linkedin.com/company/melbourne-and-olympic-park-trust,,0,https://www.seek.com.au/companies/melbourne-n-olympic-parks-795583/reviews,13,13,Correct,"[[0, 0, 0, 0, 0, 0], [0.8, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/melbourne-n-olympic-parks-795583/reviews']}"
brisbane racing club,events services,queensland,501-1000,,linkedin.com/company/brisbane-racing-club,https://au.indeed.com/cmp/Brisbane-Racing-Club/reviews,13,https://www.seek.com.au/companies/brisbane-racing-club-435152/reviews,17,30,Correct,"[[0.81, 0, 0, 0, 0, 0], [0.82, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Brisbane-Racing-Club/reviews'], 'seek': ['https://www.seek.com.au/companies/brisbane-racing-club-435152/reviews']}"
hlb mann judd,accounting,new south wales,501-1000,,linkedin.com/company/hlb-mann-judd,,0,https://www.seek.com.au/companies/hlb-mann-judd-434241/reviews,41,41,Incorrect,"[[0, 0, 0, 0, 0, 0], [0.75, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/hlb-mann-judd-434241/reviews']}"
australian acoustical society,mechanical or industrial engineering,new south wales,501-1000,1964.0,linkedin.com/company/australian-acoustical-society,https://au.indeed.com/cmp/Swissport-(australia-and-New-Zealand)/reviews,25,,0,25,Incorrect,"[[0.52, 0.34, 0.28, 0.23, 0.45, 0.16], [0, 0, 0.4, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Swissport-(australia-and-New-Zealand)/reviews', 'https://au.indeed.com/cmp/Harvey-Norman/reviews', 'https://au.indeed.com/cmp/Uniting/reviews', 'https://au.indeed.com/cmp/Csiro/reviews', 'https://au.indeed.com/cmp/Australian-Unity/reviews', 'https://au.indeed.com/cmp/Sa-Health/reviews'], 'seek': ['https://www.seek.com.au/companies/hearing-australia-433458/reviews']}"
goodline,construction,,1001-5000,1999.0,linkedin.com/company/goodline,https://au.indeed.com/cmp/Goodline/reviews,44,https://www.seek.com.au/companies/goodline-432723/reviews,107,151,Correct,"[[0.91, 0, 0, 0, 0, 0], [0.77, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Goodline/reviews'], 'seek': ['https://www.seek.com.au/companies/goodline-432723/reviews']}"
tpg telecom,telecommunications,new south wales,5001-10000,,linkedin.com/company/tpg-telecom,https://au.indeed.com/cmp/Tpg-Telecom/reviews,12,https://www.seek.com.au/companies/tpg-437015/reviews,67,79,Correct,"[[0, 0.75, 0, 0, 0, 0], [0.46, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Tpg-Telecom/reviews'], 'seek': ['https://www.seek.com.au/companies/tpg-437015/reviews']}"
