name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
informatica anz,information technology and services,act,501-1000,1993.0,linkedin.com/company/informatica-anz,,0,https://www.seek.com.au/companies/anz-432303/reviews,656,656,Unknown,"[[0.34, 0, 0, 0, 0, 0], [0.43, 0, 0.15, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Anz-Banking-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/anz-432303/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews']}"
berry street,non-profit organization management,victoria,1001-5000,1877.0,linkedin.com/company/berry-street,https://au.indeed.com/cmp/Berry-Street/reviews,10,https://www.seek.com.au/companies/berry-street-434922/reviews,39,49,Unknown,"[[0.81, 0, 0, 0, 0, 0], [0.78, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Berry-Street/reviews'], 'seek': ['https://www.seek.com.au/companies/berry-street-434922/reviews']}"
old xaverians fc,sports,victoria,1001-5000,,linkedin.com/company/old-xaverians-fc,https://au.indeed.com/cmp/Football-Queensland/reviews,4,,0,4,Unknown,"[[0.46, 0, 0, 0, 0, 0], [0, 0.26, 0.33, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Football-Queensland/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/football-australia-995383/reviews']}"
migas apprentices & trainees,staffing and recruiting,queensland,501-1000,1988.0,linkedin.com/company/manufacturing-industries-group-apprenticeship-scheme,https://au.indeed.com/cmp/Migas-Apprentices-&-Trainees/reviews,2,,0,2,Unknown,"[[0.84, 0.38, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Migas-Apprentices-&-Trainees/reviews', 'https://au.indeed.com/cmp/Migas/reviews'], 'seek': []}"
australian government department of agriculture and water resources,government administration,act,1001-5000,,linkedin.com/company/australian-government-department-of-agriculture-fisheries-and-forestry,https://au.indeed.com/cmp/Australian-Government-Department-of-Agriculture-and-Water-Resources/reviews,31,,0,31,Unknown,"[[0.85, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Government-Department-of-Agriculture-and-Water-Resources/reviews'], 'seek': []}"
hbf health,insurance,,501-1000,1941.0,linkedin.com/company/hbf,https://au.indeed.com/cmp/Hbf-Health-Insurance/reviews,3,https://www.seek.com.au/companies/hbf-health-434599/reviews,83,86,Unknown,"[[0, 0, 0, 0.45, 0, 0.28], [0.75, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Hbf-Health-Insurance/reviews', 'https://au.indeed.com/cmp/Queensland-Health/reviews'], 'seek': ['https://www.seek.com.au/companies/hbf-health-434599/reviews']}"
australian skin clinics,consumer services,queensland,501-1000,1996.0,linkedin.com/company/australian-skin-clinics,https://au.indeed.com/cmp/Australian-Skin-Clinics/reviews,6,https://www.seek.com.au/companies/australian-skin-clinics-815088/reviews,39,45,Unknown,"[[0.84, 0, 0, 0, 0, 0], [0, 0.79, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Skin-Clinics/reviews'], 'seek': ['https://www.seek.com.au/companies/australian-skin-clinics-815088/reviews']}"
evolution mining,mining & metals,,1001-5000,2011.0,linkedin.com/company/evolution-mining,https://au.indeed.com/cmp/Evolution-Mining/reviews,18,https://www.seek.com.au/companies/evolution-mining-433532/reviews,86,104,Unknown,"[[0.86, 0, 0, 0, 0, 0], [0.83, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Evolution-Mining/reviews'], 'seek': ['https://www.seek.com.au/companies/evolution-mining-433532/reviews']}"
ardent leisure group,entertainment,new south wales,5001-10000,2009.0,linkedin.com/company/ardent-leisure-group,https://au.indeed.com/cmp/Ardent-Leisure/reviews,9,https://www.seek.com.au/companies/ardent-leisure-group-436756/reviews,24,33,Unknown,"[[0.74, 0, 0, 0, 0, 0], [0, 0.77, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Ardent-Leisure/reviews'], 'seek': ['https://www.seek.com.au/companies/ardent-leisure-group-436756/reviews']}"
altara group,airlines/aviation,victoria,501-1000,2007.0,linkedin.com/company/altara-resources,,0,https://www.seek.com.au/companies/altara-resources-814317/reviews,10,10,Unknown,"[[0, 0, 0.22, 0, 0, 0], [0.64, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Concentrix/reviews'], 'seek': ['https://www.seek.com.au/companies/altara-resources-814317/reviews']}"
technical university of denmark,research,western australia,5001-10000,1829.0,linkedin.com/company/technical-university-of-denmark,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0.36, 0.38], [0, 0, 0, 0.18, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Curtin-University/reviews', 'https://au.indeed.com/cmp/University-of-Sydney/reviews'], 'seek': ['https://www.seek.com.au/companies/harrop-engineering-797868/reviews']}"
